# AoA, Cl, Cd, Endurance
5.000000000000000000e-01,1.119199999999999973e+00,1.333999999999999943e-02,8.875763519739986407e+01
1.000000000000000000e+00,1.177300000000000013e+00,1.363999999999999935e-02,9.365184673343870259e+01
1.500000000000000000e+00,1.235800000000000010e+00,1.399000000000000070e-02,9.819843621785476273e+01
2.000000000000000000e+00,1.293199999999999905e+00,1.426999999999999970e-02,1.030563058698960361e+02
2.500000000000000000e+00,1.349399999999999933e+00,1.456999999999999962e-02,1.075849461845323418e+02
3.000000000000000000e+00,1.405899999999999928e+00,1.489000000000000046e-02,1.119533126379839700e+02
3.500000000000000000e+00,1.462900000000000089e+00,1.524999999999999967e-02,1.160251440224245130e+02
4.000000000000000000e+00,1.518100000000000005e+00,1.555999999999999918e-02,1.202101053461430382e+02
4.500000000000000000e+00,1.570699999999999985e+00,1.583000000000000032e-02,1.243537684390938836e+02
5.000000000000000000e+00,1.606600000000000028e+00,1.585999999999999910e-02,1.283980597180824930e+02
5.500000000000000000e+00,1.658199999999999896e+00,1.634000000000000036e-02,1.306782512346106842e+02
6.000000000000000000e+00,1.707999999999999963e+00,1.684000000000000080e-02,1.325530460979541942e+02
6.500000000000000000e+00,1.755700000000000038e+00,1.734000000000000125e-02,1.341610258991908893e+02
7.000000000000000000e+00,1.801099999999999923e+00,1.785000000000000128e-02,1.354155440430442354e+02
7.500000000000000000e+00,1.844200000000000061e+00,1.847999999999999990e-02,1.355220803223960218e+02
8.000000000000000000e+00,1.883799999999999919e+00,1.917999999999999913e-02,1.348042504671775816e+02
8.500000000000000000e+00,1.914299999999999891e+00,2.020999999999999880e-02,1.310535185611919076e+02
9.000000000000000000e+00,1.932800000000000074e+00,2.206999999999999934e-02,1.217525433704695672e+02
9.500000000000000000e+00,1.946399999999999908e+00,2.460000000000000034e-02,1.103857561098050866e+02
1.000000000000000000e+01,1.957699999999999996e+00,2.744999999999999871e-02,9.978766547327995795e+01
1.050000000000000000e+01,1.966399999999999926e+00,3.063000000000000098e-02,9.002451731847943961e+01
1.100000000000000000e+01,1.973200000000000065e+00,3.418000000000000205e-02,8.109323052001556675e+01
1.150000000000000000e+01,1.977100000000000080e+00,3.826000000000000234e-02,7.266043415024806507e+01
1.200000000000000000e+01,1.977800000000000002e+00,4.304000000000000187e-02,6.462511012630551477e+01
1.250000000000000000e+01,1.973799999999999999e+00,4.879000000000000004e-02,5.683605146571566991e+01
1.300000000000000000e+01,1.977800000000000002e+00,5.419000000000000206e-02,5.132800774748457684e+01
1.350000000000000000e+01,1.976199999999999957e+00,6.063000000000000334e-02,4.582038924444276518e+01
1.400000000000000000e+01,1.971999999999999975e+00,6.778000000000000691e-02,4.085627813750456028e+01
1.450000000000000000e+01,1.972599999999999909e+00,7.466000000000000414e-02,3.710825715975068562e+01
1.500000000000000000e+01,1.966599999999999904e+00,8.261000000000000287e-02,3.338423509644244547e+01
1.550000000000000000e+01,1.964299999999999935e+00,9.035999999999999588e-02,3.046740760147334015e+01
1.600000000000000000e+01,1.959899999999999975e+00,9.839000000000000523e-02,2.788687877506447776e+01
1.650000000000000000e+01,1.956299999999999928e+00,1.065500000000000058e-01,2.568027844316118546e+01
1.700000000000000000e+01,1.952700000000000102e+00,1.147200000000000025e-01,2.378560218776298285e+01
1.750000000000000000e+01,1.946800000000000086e+00,1.233800000000000036e-01,2.201594037889137923e+01
1.800000000000000000e+01,1.945599999999999996e+00,1.313600000000000045e-01,2.065937584543906169e+01
1.850000000000000000e+01,1.940700000000000092e+00,1.399799999999999933e-01,1.931397298513861216e+01
1.900000000000000000e+01,1.933999999999999941e+00,1.490100000000000036e-01,1.804967098692234373e+01
1.950000000000000000e+01,1.920800000000000063e+00,1.593799999999999939e-01,1.670280450742951572e+01
2.000000000000000000e+01,1.896200000000000108e+00,1.721100000000000130e-01,1.517120611744124581e+01
